letra,morse,palabra_clave,code
A,.-,asno,ALFA
B,-...,bonaparte,BRAVO
C,-.-.,cocacola,CHARLIE
D,-..,docente,DELTA
E,.,él,ECO
F,..-.,farandola,FOXTROT
G,--.,góndola,GOLF
H,....,himalaya,HOTEL
I,..,iris,INDIA
J,.---,jabonoso,JULIET
K,-.-,koiros,KILO
L,.-..,limonada,LIMA
M,--,moto,MIKE
N,-.,noche,NOVEMBER
Ñ,--.--,ñoñopatoso,ÑANDU
O,---,oporto,OSCAR
P,.--.,pisotones,PAPA
Q,--.-,cocodrilo,QUEBEC
R,.-.,ramona,ROMEO
S,...,sardina,SIERRA
T,-,tos,TANGO
U,..-,único,UNIFORM
V,...-,ventilador,VICTOR
W,.--,wagon-post,WISKEY
X,-..-,xoximilco,X-RAY
Y,-.--,yotesoplo,YANKEE
Z,--..,zozobraba,ZULU
